using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB1
connecting to /dev/ttyUSB1 (115200) [OK]
 P 1026031 31568 444027 76289723
 P 1027368 31641 444042 76408060
 P 1029387 31641 444053 76527532
 P 1031204 31714 444067 76648659
 P 1032541 31787 444082 76768863
 P 1033558 31860 444097 76888939
 P 1035502 31860 444102 77008892
 P 1037128 31933 444117 77129858
 P 1039147 31933 444128 77249332
 P 1040486 32006 444142 77370460
 P 1042505 32006 444153 77489932
 P 1043844 32078 444169 77611059
 P 1045803 32078 444179 77730472
 P 1046881 32078 446754 77853719
 P 1048702 32151 446769 77971960
 P 1050970 32222 446784 78092161
 P 1051991 32295 446798 78212238
 P 1054228 32368 446813 78332699
 P 1055857 32440 446829 78454055
 P 1057418 32628 446834 78574450
